171 # shot/geophone points		
#x	y	
-192	-0.01	
-168	-0.01	
-167	0	
-165	0	
-163	0	
-161	0	
-159	0	
-157	0	
-156	-0.01	
-155	0	
-153	0	
-151	0	
-149	0	
-147	0	
-145	0	
-144	-0.01	
-143	0	
-141	0	
-139	0	
-137	0	
-135	0	
-133	0	
-132	-0.01	
-131	0	
-139	0	
-127	0	
-125	0	
-123	0	
-121	0	
-120	-0.01	
-119	0	
-117	0	
-115	0	
-113	0	
-111	0	
-109	0	
-108	-0.01	
-107	0	
-105	0	
-103	0	
-101	0	
-99	0	
-97	0	
-96	-0.01	
-95	0	
-93	0	
-91	0	
-89	0	
-87	0	
-85	0	
-84	-0.01	
-83	0	
-81	0	
-79	0	
-77	0	
-75	0	
-73	0	
-72	-0.01	
-71	0	
-69	0	
-67	0	
-65	0	
-63	0	
-61	0	
-60	-0.01	
-59	0	
-57	0	
-55	0	
-53	0	
-51	0	
-49	0	
-48	-0.01	
-47	0	
-45	0	
-43	0	
-41	0	
-39	0	
-37	0	
-36	-0.01	
-35	0	
-33	0	
-33	0	
-29	0	
-27	0	
-25	0	
-24	-0.01	
-23	0	
-21	0	
-19	0	
-17	0	
-15	0	
-13	0	
-12	-0.01	
-11	0	
-9	0	
-7	0	
-5	0	
-3	0	
-1	0	
0	-0.01	
1	0	
3	0	
5	0	
7	0	
9	0	
11	0	
12	-0.01	
13	0	
15	0	
17	0	
19	0	
21	0	
23	0	
24	-0.01	
25	0	
27	0	
29	0	
31	0	
33	0	
35	0	
36	-0.01	
37	0	
39	0	
41	0	
43	0	
45	0	
47	0	
48	-0.01	
49	0	
51	0	
53	0	
55	0	
57	0	
59	0	
60	-0.01	
61	0	
63	0	
65	0	
67	0	
69	0	
71	0	
72	-0.01	
73	0	
75	0	
77	0	
79	0	
81	0	
83	0	
84	-0.01	
85	0	
87	0	
89	0	
91	0	
93	0	
95	0	
96	-0.01	
97	0	
99	0	
101	0	
103	0	
105	0	
107	0	
108	-0.01	
109	0	
111	0	
113	0	
115	0	
117	0	
119	0	
120	-0.01	
144	-0.01	
639 # measurements		
#s	g	t
1	3	22.2
1	4	23
1	5	24.3
1	6	25.5
1	7	25.4
1	8	27.4
1	10	27.4
1	11	28.1
1	12	28.8
1	13	29.6
1	14	30.9
1	15	31
1	17	31.7
1	18	33.2
1	19	32.8
1	20	33.9
1	21	33.6
1	22	33.5
1	24	34.5
1	25	34.8
1	26	35.3
1	27	35
1	28	36
1	29	37.2
2	3	5.9
2	4	9.1
2	5	10.5
2	6	12.6
2	7	14.8
2	8	16.1
2	10	17.2
2	11	18.4
2	12	19.6
2	13	20.4
2	14	21.3
2	15	22.4
2	17	23.4
2	18	24.5
2	19	23.9
2	20	26
2	21	26.1
2	22	25.5
2	24	27.6
2	25	25.9
2	26	28.2
2	27	29.4
2	28	28.7
2	29	30.2
9	3	15.9
9	4	14.5
9	5	12.2
9	6	11
9	7	9.6
9	8	6.5
9	10	6
9	11	9.9
9	12	11.8
9	13	14
9	14	16.4
9	15	17.3
9	17	18.4
9	18	19.3
9	19	20.1
9	20	21.3
9	21	22.7
9	22	23
9	24	23.9
9	25	24.9
9	26	24.9
9	27	25.8
9	28	26.2
9	29	27.3
16	3	21.6
16	4	21.3
16	5	19.9
16	6	19.6
16	7	18.5
16	8	17.8
16	10	17.1
16	11	16.1
16	12	13.9
16	13	12
16	14	10.8
16	15	5.8
16	17	5.4
16	18	11.2
16	19	12.7
16	20	15.2
16	21	16.7
16	22	18.8
16	24	19.4
16	25	19.5
16	26	21.9
16	27	21.1
16	28	22.7
16	29	23.3
23	3	26.5
23	4	25.9
23	5	25.4
23	6	24.7
23	7	24.2
23	8	24.2
23	10	23.3
23	11	22.7
23	12	22
23	13	21.4
23	14	20.6
23	15	19.1
23	17	18.2
23	18	17.1
23	19	15.4
23	20	13.5
23	21	11.2
23	22	5.6
23	24	5.6
23	25	10.5
23	26	13
23	27	15.2
23	28	16.7
23	29	18.4
30	3	30.1
30	4	29.8
30	5	29.2
30	6	29.5
30	7	28.8
30	8	27.9
30	10	27.5
30	11	27.1
30	12	26.5
30	13	25.8
30	14	25.1
30	15	23.9
30	17	23.4
30	18	23.1
30	19	22.4
30	20	21.9
30	21	21.6
30	22	20.4
30	24	19.2
30	25	17.4
30	26	15.3
30	27	12.3
30	28	6.8
30	29	3.1
37	31	16.279
37	32	12.142
37	33	10.622
37	34	8.555
37	35	7.393
37	36	3.104
